Mumford,1999,"Loren Dean, Hope Davis, Jason Lee, Alfre Woodard, Mary McDonnell, Zooey Deschanel, Martin Short, Jane Adams, Ted Danson, Pruitt Taylor Vince, David Paymer, Jason Ritter, Dana Ivey, Kevin Tighe, Elisabeth Moss, Kelly Monaco, Robert Stack, Kirk Fox, Scott N. Stevens, Eddie Allen, Rick Dial, Joy Carlin, Helene Cardona, Priscilla Barnes, Steven Sennett, Amanda Carlin, Randall King, Arell Blanton, Eddie McClintock, Molly Schaffer, Simon Helberg, Lucie Laurier, Sam Sako, Penny Safranek, David Doty, Pamela Paulshock, Kathryn Howell, Sulo Williams, Simone Kerrick, Barbara Tuss, Ronald B. Morefield, Dick Mallon, Gea Carr, Chase Allen, Bryan Close, James Hiser, Roger Oyama, Naomi Sample, Joe Voltierra, Ron Kaell, T.J. Blair, Charles Okun, Douglas Bennett, Krystee Clark, Natalie Hays, Holt McCallany, Julie Nunis"
Titanic,1997,"Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates, Frances Fisher, Gloria Stuart, Bill Paxton, Bernard Hill, David Warner, Victor Garber, Jonathan Hyde, Suzy Amis, Lewis Abernathy, Nicholas Cascone, Danny Nucci, Jason Barry, Ewan Stewart, Eric Braeden, Jonathan Phillips, Bernard Fox, Ioan Gruffudd, James Cameron"
What's Eating Gilbert Grape,1993,"Johnny Depp, Juliette Lewis, Leonardo DiCaprio, Darlene Cates, Mary Steenburgen, Laura Harrington, Mary Kate Schellhardt, Kevin Tighe, Crispin Glover, John C. Reilly, Penelope Branning, Tim Green, Susan Loughran, Robert B. Hedges, Mark Jordan, Cameron Finley, Brady Coleman, Tim Simek, Nicholas Stojanovich, Libby Villari, Kay Bower, Joe Stevens, Mona Lee Fultz, George Haynes, Daniel Gullahorn, David H. Kramer, Drew Ebersole, Paulette Rubinstein, Peter Fernandez, Mary Alison Griffin, Jason Pace, Shelly Latham, Deborah Lee Johnson, Steve Cook, Patrick Welsh, Brent Bratton, Kirk Hunter, Buck Reynolds, David Stanford, Cameron Finley"
The Shawshank Redemption,1994,"Tim Robbins, Bob Gunton, Clancy Brown, Gil Bellows, James Whitmore, William Sadler, Mark Rolston, Renee Blaine, Larry Brandenburg, Jeffrey DeMunn, Brian Libby, Neil Giuntoli, Joseph Ragno, David Proval, Paul McCrane, Jude Ciccolella, Morgan Freeman, Scott Mann, John Horton, Gordon Greene, Alfonso Freeman, V.J. Foster, John E. Summers, Frank Medrano, Mack Miles, Alan R. Kessler, Morgan Lund, Cornell Wallace, Gary Lee Davis, Neil Summers, Ned Bellamy, Joe Pecoraro, Harold E. Cope Jr., Brian Delate, Don McManus, Donald Zinn, Dorothy Silver, Robert Haley, Dana Snyder, John D. Craig, Ken Magee, Eugene C. DePasquale, Bill Bolender, Ron Newell, John R. Woodward, Chuck Brauchler, Dion Anderson, Claire Slemmer, James Kisicki, Rohn Thomas, Charlie Kearns, Rob Reider, Brian Brophy, Paul Kennedy, James Babson, Dennis Baker, Fred Culbertson, Richard Doone, Rita Hayworth, Alonzo F. Jones, Michael Lightsey, Brad Spencer"
Pulp Fiction,1994,"Bruce Willis, Samuel L. Jackson, Steve Buscemi, Amanda Plummer, Christopher Walken, Harvey Keitel, John Travolta, Maria de Medeiros, Ving Rhames, Tim Roth, Frank Whaley, Duane Whitaker, Uma Thurman, Eric Stoltz, Rich Turner, Emil Sitka, Angela Jones, Gary Shorelle, Laura Lovelace, Julia Sweeney, Paul Calderón, Quentin Tarantino, Jerome Patrick Hoban, Lawrence Bender, Joseph Pilato, Rene Beard, Brad Parker, Sy Sher, Devan Richardson, Linda Kaye, Bronagh Gallagher, Glendon Rich, Michael Gilden, Carl Allen, Burr Steers, Lorelei Leslie, Alexis Arquette, Rosanna Arquette, Susan Griffiths, Venessia Valentino, Dick Miller, Don Blakely, Eric Clark, Phil LaMarr, Chandler Lindauer, Kathy Griffin, Brenda Hillhouse, Stephen Hibbert, Robert Ruth, Ani Sava, Peter Greene, Venessia Valentino, Karen Maruyama, Cie Allman, Lori Pizzo"
Scent of a Woman,1992,"Al Pacino, Chris O'Donnell, James Rebhorn, Gabrielle Anwar, Philip Seymour Hoffman, Todd Louiso, Ron Eldard, Bradley Whitford, Frances Conroy, Richard Venture, Gene Canfield, Rochelle Oliver, Tom Riis Farrell, Nicholas Sadler, Matt Smith, Sally Murphy, Michael Santoro, Alyson Feldman, Erika Feldman, Julian Stein, Max Stein, Anh Duong, Leonard Gaines, David Lansbury, Joseph Palmas, Baxter Harris, Francie Swift, Michael Simon, William Beckwith, Mansoor Najeeullah, J.T. Cromwell, Peter Carew, Paul Stocker, Mike Lisenco, Divina Cook, Russell Gibson, Jack Mulcahy, Lucy Smith, June Squibb, Margaret Eginton"
Hero,1992,"Maury Chaykin, Joan Cusack, Dustin Hoffman, Geena Davis, Stephen Tobolowsky, Chevy Chase, Kevin J. O'Connor, Andy García, Tom Arnold, Cady Huffman, Christian Clemenson, Warren Berlinger, Suzy Brack"
Eyes Wide Shut,1999,"Tom Cruise, Nicole Kidman, Sydney Pollack, Sky du Mont, Todd Field, Christiane Kubrick, Katharina Kubrick, Leelee Sobieski, Thomas Gibson, Julienne Davis, Alan Cumming, Rade Šerbedžija, Marie Richardson, Leslie Lowe, Jackie Sawiris, Madison Eginton, Lisa Leone, Michael Doven, Mariana Hewett, Stewart Thorndike, Randall Paul, Louise J. Taylor, Kevin Connealy, Peter Benson, Vinessa Shaw, Stanley Kubrick, Dan Rollman, Gavin Parry, Chris Pare, Adam Lias, Christian Clarke, Kyle Whitcombe, Gary Goba, Florian Windorfer, Togo Igawa, Eiji Kusuhara, Sam Douglas, Angus MacInnes, Abigail Good, Abigail Good, Brian W. Cook, Leon Vitali, Carmela Marner, Fay Masterson, Phil Davies, Cindy Dolenc, Clark Hayes, Treva Etienne, Colin Angus, Karla Ashley, Kate Charman, James Demaria, Anthony Desergio, Janie Dickens, Laura Fallace, Vanessa Fenton, Georgina Finch, Peter Godwin, Joanna Heath, Lee Henshaw, Ateeka Poole, Adam Pudney, Sharon Quinn, Ben De Saumserez, Emma Lou Sharratt, Paul Spelling, Matthew Thompson, Dan Travers, Russell Trigg, Kate Whalin, Emilio D'Alessandro, Donna Ewin, Trés Hanley, Alexander Phillip Hobbs, Kurt Leitner, Taylor Murphy"
Natural Born Killers,1994,"Woody Harrelson, Juliette Lewis, Robert Downey Jr., Tommy Lee Jones, Tom Sizemore, Ashley Judd, Rodney Dangerfield, Richard Lineback, Edie McClurg, O-Lan Jones, Everett Quinton, Adrien Brody, Steven Wright, Balthazar Getty, Jared Harris, Kirk Baltz, Pruitt Taylor Vince, Lanny Flaherty, Russell Means, Ed White, Terrylene, Maria Pitillo, Josh Richman, Sean Stone, Melinda Renna, Jerry Gardner, Jack Caffrey, Leon Skyhorse Thomas, Cory Everson, Dale Dye, Edward Conna, Evan Handler, Matthew Faber, Jamie Harrold, Jake Beecham, Saemi Nakamura, Keiko Seiko, Katharine McQueen, Salvator Xuereb, Natalie Karp, Emmanuel Xuereb, Jessie Rutkowski, Sally Jackson, Phil Neilson, Brian Barker, Corinna Laszlo, Red West, Gerry Runnels, Jeremiah Bitsui, Lorraine Farris, Glen Chin, Peter Crombie, John M. Watson Sr., Joe Grifasi, Douglas Crosby, Carl Ciarfalio, Marshall Bell, Carol-Renee Modrall, Jimmy Carrane, Robert Swan, Louis Lombardi, Robert Jordan, David Paul, Peter Paul, Rachel Ticotin, John Busse, Hank Corwin, Paul Dillon, Herb Gains, James Gammon, Jennifer Say Gan, Danny Goldring, Jane Hamsher, Mark Harmon, Arliss Howard, Boris Karloff, Kathy Long, Robert Marshall, Don Murphy, David Pasquesi, Robyn Reede, Chris Renna, Jack Rooney, Richard Rutowski, Keith Schrader, Kent Shelton, Michael Thomas, Kevin Watson, Saemi Nakamura, Hank Corwin, Arliss Howard"
Until the End of the World,1991,"Solveig Dommartin, William Hurt, Sam Neill, Jeanne Moreau, Ernie Dingo, Lois Chiles, Rüdiger Vogler, Tom Waits, Carmen Chaplin, Max von Sydow, Pietro Falcone, Enzo Turrin, Chick Ortega, Eddy Mitchell, Adelle Lutz, Jean-Charles Dumay, Ernest Berk, Christine Oesterlein, Diogo Dória, Amália Rodrigues"
Developing,1994,Natalie Portman
Leaving Las Vegas,1995,"Nicolas Cage, Elisabeth Shue, Julian Sands, Valeria Golino, Richard Lewis, Steven Weber, Emily Procter, Stuart Regen, Mariska Hargitay, R. Lee Ermey, Kim Adams, Danny Huston, Graham Beckel, Albert Henderson, Shashi Bhatia"
Chasing Amy,1997,"Ben Affleck, Joey Lauren Adams, Dwight Ewell, Jason Mewes, Ethan Suplee, Virginia Smith, Brian O'Halloran, Matt Damon, Casey Affleck, Jason Lee, Kevin Smith, Scott Mosier, Guinevere Turner, Carmen Llywelyn, Jeff Anderson, 'Krazy Joe' Fiore, Tony Torn, Welker White, Kelli Simpkins, John Willyung, Tse-Mach Washington, Ernest O'Donnell, Kristin Mosier, Mike Allred, Illeana Douglas, Walt Flanagan, Robert Hawk, Brian Jude, Brian Lynch, Jeff Millstein, Vincent Pereira, Joe Quesada, Alexander Goebbel, Rebecca Waxman, Paris Petrick"
Apt Pupil,1998,"David Schwimmer, Brad Renfro, Ian McKellen, Heather McComb, James Karen, Ann Dowd, Joshua Jackson, Bruce Davison, Katherine Malone, Blake Anthony Tibbetts, Michael Reid MacKay, Mickey Cottrell, Marjorie Lovett, Grace Sinden, David Cooley, Elias Koteas, Kevin Spirtas, Michael Byrne, Danna Dennis, Jan Tříska, Joe Morton, Michael Artura, Donna Marie Brown, Mark Flythe, Warren Wilson, Mildred Singer, Mary Ottman, Darrell Britt, Robert ""Duckie"" Carpenter, Richard Dunn, Joseph Ashton Montgomery, Phaedra Neitzel, Anthony Moore, Jill Harris, Norbert Dave Singer"
Schindler's List,1993,"Liam Neeson, Ben Kingsley, Ralph Fiennes, Caroline Goodall, Embeth Davidtz, Ludger Pistor, Mark Ivanir, Miri Fabian, Ezra Dagan, Aldona Grochal, Albert Misak, Beata Paluch, Anna Mucha, Malgoscha Gebel, Jonathan Sagall, Beata Nowak, Adi Nitzan, Friedrich von Thun, Krzysztof Luft, Harry Nehring, Shmulik Levy, Olaf Lubaszenko, Agnieszka Krukówna, Maria Peszek, Oliwia Dabrowska, Béatrice Macola, Andrzej Seweryn, Norbert Weisser, Michael Schneider, Michael Gordon, Jacek Wójcicki, Piotr Polk, Rami Heuberger, Leopold Kozłowski, Jerzy Nowak, Uri Avrahami, Adam Siemion, Magdalena Dandourian, Paweł Deląg, Shabtai Konorti, Henryk Bista, Tadeusz Bradecki, Wojciech Klata, Ewa Kolasinska, Bettina Kupfer, Grzegorz Kwas, Vili Matula, Stanislaw Koczanowicz, Hans-Jörg Assmann, Geno Lechner, August Schmölzer, Beata Rybotycka, Branko Lustig, Artus Maria Matthiessen, Hans-Michael Rehberg, Eugeniusz Priwieziencew, Michael Z. Hoffmann, Erwin Leder, Jochen Nickel, Andrzej Welminski, Daniel Del-Ponte, Marian Glinka, Grzegorz Damiecki, Stanislaw Brejdygant, Haymon Maria Buttinger, Peter Appiano, Jacek Pulanecki, Tomasz Dedek, Slawomir Holland, Martin Semmelrogge, Tadeusz Huk, Gerald Alexander Held, Piotr Cyrwus, Joachim Paul Assböck, Osman Ragheb, Maciej Orłoś, Marek Wrona, Zbigniew Kozlowski, Marcin Grzymowicz, Dieter Witting, Magdalena Komornicka, Anemona Knut, Jeremy Flynn, Agnieszka Wagner, Jan Jurewicz, Wieslaw Komasa, Maciej Kozłowski, Martin Bergmann, Wilhelm Manske, Peter Flechtner, Sigurd Bemme, Etl Szyc, Lucyna Zabawa, Ruth Farhi, Jerzy Sagan, Dariusz Szymaniak, Dirk Bender, Maciej Winkler, Radosław Krzyżowski, Jacek Lenczowski"
Under Siege 2: Dark Territory,1995,"Steven Seagal, Eric Bogosian, Katherine Heigl, Morris Chestnut, Everett McGill, Bruce McGill, Peter Greene, Brenda Bakke, Patrick Kilpatrick, Andy Romano, Scott Sowers, Afifi Alaouie"
Boxing Helena,1993,"Sherilyn Fenn, Julian Sands, Bill Paxton, Kurtwood Smith, Art Garfunkel, Nicolette Scorsese, Meg Register, Betsy Clark, Kim Lentz, Marla Levine"
Shakespeare in Love,1998,"Gwyneth Paltrow, Geoffrey Rush, Colin Firth, Ben Affleck, Judi Dench, Joseph Fiennes, Tom Wilkinson, Martin Clunes, Steven O'Donnell, Tim McMullan, Sandra Reinton, Patrick Barlow, Steven Beard, Antony Sher, Simon Callow, David Curtiz, Nicholas Boulton, Jim Carter, Imelda Staunton, Mark Williams, Jill Baker, Rupert Everett, Bridget McConnell, Georgie Glen, Desmond McNamara, Barnaby Kay, Paul Bigley, Jason Round, Rupert Farley, Adam Barker, Joe Roberts, Harry Gostelow, Alan Cody, Gregor Truter, Simon Day, Amber Glossop, Robin Davies, Hywel Simons, Nicholas Le Prevost, Timothy Kightley, Mark Saban, Bob Barrett, Roger Morlidge, Daniel Brocklebank, Roger Frost, Rebecca Charles, Richard Gold, Rachel Clarke, Lucy Speed, Patricia Potter, John Ramm, Martin Neely, Martin Neely, Jason Canning, Kelley Costigan, John Inman"
Cruel Intentions,1999,"Ryan Phillippe, Sarah Michelle Gellar, Reese Witherspoon, Selma Blair, Sean Patrick Thomas, Tara Reid, Swoosie Kurtz, Joshua Jackson, Christine Baranski, Louise Fletcher, Eric Mabius, Charlie O'Connell, Deborah Offner, Fred Norris, Ginger Williams, Alaina Reed Hall, Herta Ware, Hiep Thi Le, Drew Snyder, Philip Hawn, Jim Jenkins, Elizabeth M. Kelly, Guy Kochlani"
Showgirls,1995,"Elizabeth Berkley, Kyle MacLachlan, Gina Gershon, Alan Rachins, Robert Davi, Glenn Plummer, Gina Ravera, William Shockley, Greg Travis, Patrick Bristow, Dewey Weber, Rena Riffel, Al Ruscio, Michelle Johnston, Carrie Ann Inaba, Lin Tucci, Rena Riffel"
Falling Down,1993,"Michael Douglas, Robert Duvall, Barbara Hershey, Rachel Ticotin, Frederic Forrest, Tuesday Weld, Michael Paul Chan, Lois Smith, Raymond J. Barry, D. W. Moffett, Joey Hope Singer, James Morrison, Agustin Rodriguez, Ebbe Roe Smith, Steve Park, Kimberly Scott, James Keane, Macon McCalman, Richard Montoya, Bruce Beatty, Matthew Saks, Eddie Frias, Pat Romano, Julian Scott Urena, Karina Arroyave, Irene Olga López, Benjamin Mouton, Dean Hallo, John Fleck, Brent Hinkley, Dedee Pfeiffer, Carole Androsky, Margaret Medina, Vondie Curtis-Hall, Mark Frank, Spencer Rochfort, Carole Ita White, Russell Curry, John Fink, Jack Kehoe, Valentino D. Harrison, Jack Betts, Al Mancini, John Diehl, Amy Morton, Susie Singer, Wayne Duvall, Valisha Jean Malin, Peter Radon, Abbey Barthel, Jeffrey Byron, Marjorie J. Frazier, Thomas M. Harrigan, Deron McBee, Marjorie J. Frazier"
The English Patient,1996,"Ralph Fiennes, Kristin Scott Thomas, Colin Firth, Juliette Binoche, Naveen Andrews, Willem Dafoe, Julian Wadham, Clive Merrison, Nino Castelnuovo, Kevin Whately, Jürgen Prochnow, Hichem Rostom, Peter Rühring, Geordie Johnson, Torri Higginson, Liisa Repo-Martell"
The Godfather Part III,1990,"Al Pacino, Diane Keaton, Andy García, Talia Shire, Sofia Coppola, Eli Wallach, Joe Mantegna, Bridget Fonda, Catherine Scorsese, Richard Bright, Willie Brown, George Hamilton, Vittorio Duse, Al Martino, John Savage, Enzo Robutti, Raf Vallone, Franc D'Ambrosio, Donal Donnelly, Helmut Berger, Don Novello, Franco Citti, Mario Donatone, Michele Russo, Robert Cicchini, Rogerio Miranda, Carlos Miranda, Vito Antuofermo, Robert Vento, Jeannie Linero, Jeanne Savarino Pesch, Janet Savarino Smith, Tere Livrano, Carmine Caridi, Don Costello, Al Ruscio, Mickey Knox, Rick Aviles, Michael Bowen, Brett Halsey, Gabriele Torrei, John Abineri, Brian Freilino, Gregory Corso, Marino Masé, Alessandro Ruspoli, 9th Prince of Cerveteri, Valeria Sabel, Remo Remotti, Luigi Laezza, Beppe Pianviti, Santo Indelicato, Simonetta Stefanelli, Francesco Paolo Bellante, Paco Reconti, Mimmo Cuticchio, Richard Honigman, Nicky Blair, Anthony Guidera, Frank Tarsia, Diane Agostini, Jessica DiCicco, Ida Bernardini, Joe Drago, David Hume Kennerly, James D. Damiano, Michael Boccio, Salvatore Billa, Sal Borgese, Ludovico Caldereda, John Cazale, Anton Coppola, Carmine Coppola, Gia Coppola, Tony Devon, Emmett Fitzsimmons, Joe Fontana, Paolo Gavanelli, Ron Jeremy, Madelyn Renee, Madelyn Renee, Angelo Romero, F.X. Vitolo"
The Prince of Tides,1991,"Barbra Streisand, Nick Nolte, Kate Nelligan, George Carlin, Jason Gould, Blythe Danner, Melinda Dillon, Brad Sullivan, Jeroen Krabbé, Maggie Collier, Lindsay Wray, Brandlyn Whitaker, Justen Woods, Bobby Fain, Trey Yearwood, Tiffany Jean Davis, Nancy Moore Atchison, Kiki Runyan, Grayson Fricke, Ryan Newman, Chris Stacy, Milton Clark Jr., Bonnie Johnson, Dottie Soracco, Bob Hannah, Norman Max Maxwell, R.D. Oprea, Rebecca Fleming, Sandy Rowe, Alan Sader, Nick Searcy, Kirk Whalum, Marilyn Carter, Yvonne Brisendine, Lee Lively, Ann Pierce, Francis Dumaurier, John Arceri, Warren Kremin, Robert Baglia, Leon Watkins, Frederick Neumann"
Groundhog Day,1993,"Bill Murray, Andie MacDowell, Chris Elliott, Stephen Tobolowsky, Brian Doyle-Murray, Marita Geraghty, Angela Paton, Rick Ducommun, Rick Overton, Robin Duke, Carol Bivins, Willie Garson, Ken Hudson Campbell, Les Podewell, Rod Sell, Tom Milanovich, Chet Dubowski, C.O. Erickson, Michael Shannon, Hynden Walch, Harold Ramis, John M. Watson Sr., Peggy Roeder, David Pasquesi, Lee R. Sellars, Sandy Maschmeyer, Leighanne O'Neil, Evangeline Binkley, Samuel Mages, Ben Zwick, Timothy Hendrickson, Martha Webster, Angela Dezen, Shaun Chaiyabhat, Dianne B. Shaw, Barbara Ann Grimes, Ann Heekin, Lucy Pacquet, Brenda Pickleman, Amy Murdoch, Eric Saiet, Lindsay Albert, Roger Adler, Ben A. Fish, Don Riozz McNichols, Brian Willig, Richard Henzel, Rob Riley, Scooter, Tony DeGuide, Grady Hutt, Robert Minkoff, Douglas Blakeslee, Ari Golan, Simon Harvey, Regina Prokop, Daniel Riggs, Leslie Frates"
Apollo 13,1995,"Tom Hanks, Kevin Bacon, Bill Paxton, Gary Sinise, Ed Harris, Kathleen Quinlan, Miko Hughes, Loren Dean, Xander Berkeley, David Andrews, Mary Kate Schellhardt, Clint Howard, Marc McClure, Christian Clemenson, Chris Ellis, Tracy Reiner, Emily Ann Lloyd, Jean Speegle Howard, Michele Little, Max Elliott Slade, Bryce Dallas Howard, Joe Spano, Ben Marley, Thomas Mills Wood, Googy Gress, Patrick Mickler, Ray McKinnon, Max Grodénchik, Brett Cullen, Ned Vaughn, Andy Milder, Geoffrey Blake, Wayne Duvall, Jim Meskimen, Joseph Culp, John Short, Ben Bodé, Todd Louiso, Gabriel Jarret, Christopher John Fields, Kenneth White, James Ritz, Andrew Lipschultz, Mark Wheeler, Larry Williams, Endre Hules, Karen Martin, Maureen Hanley, Meadow Williams, Walter von Huene, Brian Markinson, Steve Rankin, Austin O'Brien, Louisa Marie, Thom Barry, Arthur Senzy, Carl Gabriel Yorke, Ryan Holihan, Rance Howard, Jane Jenkins, Todd Hallowell, Matthew Michael Goodall, Taylor Goodall, Misty Dickinson, Roger Corman, Lee Anne Matusek, Mark D. Newman, Mark McKeel, Patty Raya, Jack Conley, Jeffrey Kluger, Bruce Wright, Ivan Allen, Jon Bruno, Reed Rudy, Steve Bernie, Steve Ruge, Herbert Jefferson Jr., John Dullaghan, John Wheeler, Paul Mantee, Julie Rowen, Thomas Crawford, Frank Cavestani, John M. Mathews, Walter Altman, John Bishop, John Timothy Botka, Jaime Campos, Tory Christopher, Michael S. Connolly, Cheryl Howard, Kent Kasper, Sarah Krasner, Chauntal Lewis, Jim Lovell, Marilyn Lovell, Chris Moore, Ted West"
Babe,1995,"James Cromwell, Magda Szubanski, Christine Cavanaugh, Miriam Margolyes, Hugo Weaving, Miriam Flynn, Russi Taylor, Roscoe Lee Browne, Danny Mann, Evelyn Krape, Paul Livingston, Michael Edward-Stevens, Charles Bartlett, Paul Goddard"
Sense and Sensibility,1995,"Emma Thompson, Kate Winslet, Hugh Grant, Alan Rickman, Greg Wise, Gemma Jones, Myriam Francois-Cerrah, Elizabeth Spriggs, Harriet Walter, Imelda Staunton, Imogen Stubbs, Hugh Laurie, Robert Hardy, Tom Wilkinson, James Fleet, Richard Lumsden, Ian Brimble"
Good Will Hunting,1997,"Matt Damon, Robin Williams, Ben Affleck, Minnie Driver, Stellan Skarsgård, Casey Affleck, Cole Hauser, Colleen McCauley, John Mighton, Rachel Majorowski, Harmony Korine, George Plimpton, Kevin Rushton, Derrick Bridgeman, Matt Mercier, Ann Matacunas, Chas Lawther, Robert Talvano, Joe Cannon, Philip Williams, Jimmy Flynn, Ralph St. George, Bruce Hunter, Riva Di Paola, Dan Washington, Vik Sahay, Alison Folland, James Allodi, Patrick O'Donnell, Thomas Lundy, David Eisner, Steven Kozlowski, Richard Fitzpatrick, Jennifer Deathe, Rob Lyons, Libby Geller, Christopher Britton, Barna Moricz, Kent Damon, Rob Lynds, Jessica Morton, Scott William Winters, Shannon Egleson, Frank Nakashima, Francesco Clemente, Bobby Curcoro, Daniel Olsen"
